repo	branch	status	current	target
.allstar	master	metadata-only	-	-
.github	master	metadata-only	-	-
aosp-mirror.github.io	master	metadata-only	-	-
kernel_common	android-mainline	metadata-only	-	-
kernel_msm	main	metadata-only	-	-
platform_bionic	main	metadata-only	-	-
platform_build	main	metadata-only	-	-
platform_dalvik	main	metadata-only	-	-
platform_development	main	metadata-only	-	-
platform_external_aes	main	metadata-only	-	-
platform_external_apache-http	main	metadata-only	-	-
platform_external_bluez	main	metadata-only	-	-
platform_external_clearsilver	main	metadata-only	-	-
platform_external_dbus	main	metadata-only	-	-
platform_external_dhcpcd	main	metadata-only	-	-
platform_external_dropbear	main	metadata-only	-	-
platform_external_elfcopy	main	metadata-only	-	-
platform_external_elfutils	main	metadata-only	-	-
platform_external_emma	main	metadata-only	-	-
platform_external_esd	main	metadata-only	-	-
platform_external_expat	main	metadata-only	-	-
platform_external_fdlibm	main	metadata-only	-	-
platform_external_freetype	main	metadata-only	-	-
platform_external_gdata	main	metadata-only	-	-
platform_external_giflib	main	metadata-only	-	-
platform_external_googleclient	main	metadata-only	-	-
platform_external_icu4c	main	metadata-only	-	-
platform_external_iptables	main	metadata-only	-	-
platform_external_jdiff	main	metadata-only	-	-
platform_external_jhead	main	metadata-only	-	-
platform_external_jpeg	main	metadata-only	-	-
platform_external_libffi	main	metadata-only	-	-
platform_external_libpcap	main	metadata-only	-	-
platform_external_libpng	main	metadata-only	-	-
platform_external_libxml2	main	metadata-only	-	-
platform_external_netcat	main	metadata-only	-	-
platform_external_netperf	main	metadata-only	-	-
platform_external_neven	main	metadata-only	-	-
platform_external_opencore	main	metadata-only	-	-
platform_external_openssl	main	metadata-only	-	-
platform_external_oprofile	main	metadata-only	-	-
platform_external_ping	main	metadata-only	-	-
platform_external_ppp	main	metadata-only	-	-
platform_external_protobuf	main	metadata-only	-	-
platform_external_qemu	main	metadata-only	-	-
platform_external_safe-iop	main	metadata-only	-	-
platform_external_skia	main	metadata-only	-	-
platform_external_sonivox	main	metadata-only	-	-
platform_external_sqlite	main	metadata-only	-	-
platform_external_srec	main	metadata-only	-	-
platform_external_strace	main	metadata-only	-	-
platform_external_tagsoup	main	metadata-only	-	-
platform_external_tcpdump	main	metadata-only	-	-
platform_external_tinyxml	main	metadata-only	-	-
platform_external_tremor	main	metadata-only	-	-
platform_external_webkit	main	metadata-only	-	-
platform_external_wpa_supplicant	main	metadata-only	-	-
platform_external_yaffs2	main	metadata-only	-	-
platform_external_zlib	main	metadata-only	-	-
platform_frameworks_base	main	metadata-only	-	-
platform_frameworks_opt_com.google.android	main	metadata-only	-	-
platform_frameworks_policies_base	main	metadata-only	-	-
platform_frameworks_support	master	metadata-only	-	-
platform_hardware_libhardware	main	metadata-only	-	-
platform_hardware_ril	main	metadata-only	-	-
platform_manifest	android-latest-release	metadata-only	-	-
platform_packages_apps_alarmclock	main	metadata-only	-	-
platform_packages_apps_browser	main	metadata-only	-	-
platform_packages_apps_calculator	main	metadata-only	-	-
platform_packages_apps_calendar	main	metadata-only	-	-
platform_packages_apps_camera	main	metadata-only	-	-
platform_packages_apps_contacts	main	metadata-only	-	-
platform_packages_apps_email	main	metadata-only	-	-
platform_packages_apps_googlesearch	main	metadata-only	-	-
platform_packages_apps_htmlviewer	main	metadata-only	-	-
platform_packages_apps_im	main	metadata-only	-	-
platform_packages_apps_launcher	main	metadata-only	-	-
platform_packages_apps_mms	main	metadata-only	-	-
platform_packages_apps_music	main	metadata-only	-	-
platform_packages_apps_packageinstaller	main	metadata-only	-	-
platform_packages_apps_phone	main	metadata-only	-	-
platform_packages_apps_settings	main	metadata-only	-	-
platform_packages_apps_soundrecorder	main	metadata-only	-	-
platform_packages_apps_stk	main	metadata-only	-	-
platform_packages_apps_sync	main	metadata-only	-	-
platform_packages_apps_updater	main	metadata-only	-	-
platform_packages_apps_voicedialer	main	metadata-only	-	-
platform_packages_providers_calendarprovider	main	metadata-only	-	-
platform_packages_providers_contactsprovider	main	metadata-only	-	-
platform_packages_providers_downloadprovider	main	metadata-only	-	-
platform_packages_providers_drmprovider	main	metadata-only	-	-
platform_packages_providers_googlecontactsprovider	main	metadata-only	-	-
platform_packages_providers_improvider	main	metadata-only	-	-
platform_packages_providers_mediaprovider	main	metadata-only	-	-
platform_packages_providers_telephonyprovider	main	metadata-only	-	-
platform_prebuilt	main	metadata-only	-	-
platform_system_bluetooth	main	metadata-only	-	-
platform_system_core	main	metadata-only	-	-
platform_system_wlan_ti	main	metadata-only	-	-
tools_repo	main	metadata-only	-	-
